"","Title","PublicationDate","Authors","Subject","Keywords","DataType","Objectives","PeriodCovered","Affiliations","NameOfDataverse","DOI"
"128","Replication Data for: Weed control in processing tomato (Lycopersicon esculentum) with Rimsulfuron and Thifensulfuron applies alone or with Chlorothalonil or copper pesticides","2022-02-03","Robinson, Darren; Soltani, Nader; Sikkema, Peter; Hamill, Allen","Agricultural Sciences","Crop tolerance; Lycopersicon esculentum; Metribuzin; Postemergence herbicides; Rimsulfuron; Thifensulfuron-methyl; Tomato injury; Yield","Experimental data","The objective of this research were to determine if the addition of a fungicide/bactericide (chlorothalonil or copper hydroxide) to rimsulfuron, thifensulfuron, rimsulfuron plus metribuzin, or thifensulfuron plus metribuzin increased injury to tomato, reduced weed control, and reduced tomato yield.","2002 to  2004","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Agriculture and Agri-Food Canada","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/VA5HL9"
"129","Replication Data for: Effect of Foramsulfuron and Isoxaflutole Residues on Rotational Vegetable Crops","2022-02-03","Soltani, Nader; Sikkema, Peter; Robinson, Darren","Agricultural Sciences","Carryover; Foramsulfuron; Isoxaflutole; Preemergence; Postemergence","Experimental data","The objectives of this study were to determine the potential for foramsulfuron, isoxaflutole alone, and isoxaflutole plus atrazine residues to cause injury to various vegetable crops (cabbage, processing peas, potato, sugar beet, and tomato).","2000 to  2005","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/VUUU8X"
"130","Replication Data for: Tolerance of black beans (Phaseolus vulgaris) to soil applications of S-Metolachlor and Imazethapyr","2022-02-03","Soltani, Nader; Shropshire, Christy; Cowan, Todd; Sikkema, Peter","Agricultural Sciences","Crop injury; Crop tolerance; Maturity; Plant dry weight; Plant height; Yield","Experimental data","The objectives of this research were to determine the tolerance of black beans to S-metolachlor and imazeth- apyr alone and in tank mixture under Ontario growing conditions and to determine if there was a difference in crop tolerance of black beans between the preplant incorporated (PPI) and preemergence (PRE) application timings.","2001 to  2003","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/QSOQBT"
"131","Replication Data for: Tolerance of cranberry beans (Phaseolus vulgaris) to post emergence herbicides","2022-02-04","Soltani, Nader; Shropshire, Christy; Sikkema, Peter; Bowley, Stephen","Agricultural Sciences","Bentazon; Fomesafen; Imazamox; Field trials; Dry beans; Phaseolus vulgaris L","Experimental","The objective of this research was to determine the tolerance of black beans and cranberry beans to POST applications of bentazon, bentazon plus fomesafen, and imazamox plus fomesafen for possible registration in Ontario.","2001 to  2003","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; (Retired) Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/SFOIPJ"
"132","Replication Data for: Weed control, environmental impact and profitability with glyphosate tank mixes in glyphosate-tolerant corn","2022-02-04","Soltani, Nader; Van Eerd, Lara; Shropshire, Christy; Sikkema, Peter","Agricultural Sciences","Atrazine; Dicamba; Diflufenzopyr; Dimethenamid; Glyphosate; Mesotrione; Pendimethalin; Rimsulfuron; S-metolachlor; Zea mays L.","Experimental data","The objective of this research was to evaluate different glyphosate tank mixes applied POST for weed control efficacy, environmental impact, yield, and profitability in glyphosate-tolerant corn.","2005 to  2007","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/TSPBOC"
"133","Replication Data for: Responses of Otebo bean (Phaseolus vulgaris L.)  to postemergence herbicides","2022-02-05","Sikkema, Peter; Robinson, Darren; Shropshire, Christy; Soltani, Nader","Agricultural Sciences","Bentazon; Fomesafen; Imazamox; Phaseolus vulgaris; Quizalofop-p-ethyl; Sethoxydim","Experimental data","The objective of this study was to determine the tolerance of otebo bean to the POST application of bentazon, fomesafen, sethoxydim, quizalofop-p-ethyl, imazamox plus fomesafen, and imazamox plus bentazon under Ontario’s environmental conditions.","2003 to  2004","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/61BHMX"
"134","Replication Data for: Effect of reduced herbicide rates on weed control, environmental impact and profitability of corn","2022-02-05","Soltani, Nader; Vyn, Richard; Van Eerd, Lara; Shropshire, Christy; Sikkema, Peter","Agricultural Sciences","Atrazine; Dicamba; Diflufenzopyr; Dimethenamid; Glufosinate; Nicosulfuron; Rimsulfuron; Zea mays L.","Experimental data","The objective of this study was to evaluate the effect of reduced rates 20, 40, 60, 80, and 100% of the MRR of isoxaflutole plus atrazine, dimethenamid plus dicamba/atrazine, glufosinate plus atrazine, and nicosulfuron/rimsulfuron plus dicamba/diflufenzopyr on weed control, environmental impact, yield, and profitability of corn in Ontario.","2003 to  2005","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Food, Agricultural and Resource Economics. Ontario Agricultural College. University of Guelph.; School of Environmental Sciences. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/MULKV8"
"135","Replication Data for: Tolerance of white beans to postemergence broadleaf herbicides","2022-02-05","Sikkema, Peter; Soltani, Nader; Shropshire, Christy; Cowan, Todd","Agricultural Sciences","Bentazon; Bromoxynil; Chlorimuron; Cloransulam-methyl; Fomesafen; Imazamox; Thi-fensulfuron; Corn; Zea mays L.; Soybean; Glycine max (L.) Merr.; White bean; Phaseolus vulgaris L.; 'AC Compass'; 'OAC Thunder'","Experimental data","The objective of this research was to determine the tolerance of two white bean cultivars to POST applications of ima- zamox plus fomesafen, imazamox plus bentazon, clor- ansulam-methyl, thifensulfuron, chlorimuron, and bro- moxynil for possible Canadian registration of these her- bicides in white bean production in Ontario.","2001 to  2002","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/X0B8V1"
"136","Replication Data for: Stomatal and non-stomatal restrictions to carbon assimilation in soybean (Glycine max) lines differing in water use efficiency","2022-03-14","Earl, Hugh","Agricultural Sciences","Glycine max; Leaf gas exchange; Photosynthesis; Soybean; Water use efficiency","Experimental data","The objective of this study was to quantify known genotype differences in WUE have been fully characterized, by quantifying the relative importance of stomatal vs. non-stomatal factors at the leaf level.","2000-01 to  2000-08","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/UVK43T"
"137","Replication Data for: Investigating the patient food experience: Understanding hospital staffs' perspectives on what leads to quality food provision in Ontario hospitals","2022-06-01","Trinca, Vanessa; Duizer, Lisa; Paré, Shannon; Keller, Heather","Medicine, Health and Life Sciences","Clinical nutrition; Food service; Food service and management; Meals; Food and drink; Qualitative; Study design and analysis; Research","Experimental","The present study aimed to understand staff and volunteers’ perceptions of serving food in Ontario hospitals, in addition to barriers and facilitators to the provision of foods considered to be of high‐quality and preferred by patients."," to  ","Department of Kinesiology and Health Sciences. University of Waterloo.; Department of Food Science. Ontario Agricultural College. University of Guelph.; Department of Food Science. Ontario Agricultural College. University of Guelph.; Schlegel-University of Waterloo Research Institute for Aging, and Department of Kinesiology and Health Sciences, University of Waterloo","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/AYRI1S"
"138","Replication Data for: Putting quality food on the tray: Factors associated with patients’ perceptions of the hospital food experience","2022-06-01","Trinca, Vanessa; Duizer, Lisa; Keller, Heather","Medicine, Health and Life Sciences","Hospital foodservice; Hospital meals; Meal quality; Meal quality assessment; Questionnaire development","Experimental","The present study aimed to: (i) determine which aspects of hospital food and food- related traits are prioritised by patients; (ii) assess patients’ sensory ratings of a meal served in hospital; and (iii) assess the bivariate and multivariable associations of patient and hospital traits with patient ratings of hospital food and meal quality quantified by the Hospital Food Experience Questionnaire (HFEQ)."," to  ","Department of Kinesiology. University of Waterloo.; Department of Food Science. Ontario Agricultural College. University of Guelph.; Schlegel-University of Waterloo Research Institute for Aging, and Department of Kinesiology, University of Waterloo","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/FAOD91"
"139","Replication Data for: Sensory characteristics of liquids thickened with commercial thickeners to levels specified in the International Dysphagia Diet Standardization Initiative (IDDSI) framework","2022-07-06","Ong, Jane Jun-Xing; Duizer, Lisa; Steele, Catriona M.","Medicine, Health and Life Sciences","Dysphagia; Thickened liquids; Sensory evaluation; IDDSI; Viscosity","Experimental","This research sought to identify and rate the perception of important sensory properties of liquids thickened to levels specified in the IDDSI framework.","2016-10 to  2017-01","Department of Food Science. Ontario Agricultural College. University of Guelph.; Department of Food Science. Ontario Agricultural College. University of Guelph.; Toronto Rehabilitation Institute. University Health Network.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/WOZLFQ"
"140","Replication Data for: Nutrition in Disguise: Effects of Food Neophobia, Healthy Eating Interests and Provision of Health Information on Liking and Perceptions of Nutrient-Dense Foods in Older Adults","2022-07-25","Romaniw, Olivia C.; Ritika, Rajpal; Duncan, Alison M.; Keller, Heather H.; Duizer, Lisa M.","Agricultural Sciences; Medicine, Health and Life Sciences; Social Sciences","Older adults; Nutrient-enhanced foods; Food neophobia; Healthy eating; Health information; Liking; Sensory perceptions; Check-all-that-apply (CATA)","Experimental","The primary objective of this study was to investigate the liking and sensory perceptions of ten nutrient-dense foods tailored for older adults to determine their feasibility for improving the nutrient quality of older adults’ diets. A second objective was to observe the impacts of food neophobia and healthy eating interest segmentation on liking scores and perceptions of the foods. The final objective was to examine the influence of health information on sensory evaluations for both the overall participant sample and the food neophobia and healthy eating interest segmented groups.","2018-11 to  2019-01","Department of Food Science. Ontario Agricultural College. University of Guelph.; Department of Human Health and Nutritional Sciences. College of Biological Science. University of Guelph.; Department of Human Health and Nutritional Sciences. College of Biological Science. University of Guelph.; Department of Kinesiology. Faculty of Health. University of Waterloo. Schlegel-University of Waterloo Research Institute for Aging. Waterloo, ON.; Department of Food Science. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/BD9AMB"
"141","Replication Data for: Comparative impact of conventional and alternative gut health management programs on growth performance and breast meat quality in broiler chickens raised in commercial and research settings","2022-09-29","Bean-Hodgins, Lisa; Mohammadigheisar, Mohsen; Edwards, Michelle; Wang, C.; Barbut, Shai; Kiarie, Elijah","Agricultural Sciences","Antibiotics; Breast weight; Broiler; Gut health; Myopathy; Performance","Experimental","The objective of this study was to evaluate the effects of gut health management programs on performance and breast meat quality in broiler chickens reared in commercial farms across 6 consecutive flocks (study 1) and controlled research settings (study 2).","2019-05 to  2020-06","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Ontario Agricultural College. University of Guelph.; Department of Food Science. Ontario Agricultural College. University of Guelph.; Department of Food Science. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/EZJWPJ"
"142","Replication Data for: Comparative impact of conventional and alternative gut health management programs on gastrointestinal responses in broiler chickens raised in commercial and research settings","2022-09-29","Bean-Hodgins, Lisa; Mohammadigheisar, Mohsen; Edwards, Michelle; Kiarie, Elijah","Agricultural Sciences","Antibiotics; Broiler; Digesta short chain fatty acid; Gut health; Histomorphology; Organ weight","Experimental","The objective of this study was to evaluate the effects of commercial gut health management programs on gastrointestinal responses including organ development, jejunal histomorphology, and cecal SCFA in broiler chickens reared in commercial farms (study 1) and controlled research settings (study 2).","2019-05 to  2020-06","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Office of Research. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/CJ5VZG"
"143","Replication Data for: In pursuit of a better broiler: walking ability and incidence of contact dermatitis in conventional and slower growing strains of broiler chickens","2023-01-16","Santos, Midian; Widowski, Tina; Torrey, Stephanie; Kiarie, Elijah; Guerin, Michele; Edwards, Michelle","Agricultural Sciences","Lameness; Leg health; Growth rate; Genotype; Slower-growth","Experimental","The aim of this study was to investigate the differences in mobility and contact dermatitis between 2 FG and 12 SG strains of broiler chickens raised under the same conditions and processed at similar market weights.","2018-05-17 to  2019-11-07","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Campbell Centre for the Study of Animal Welfare. Department of Population Medicine. Ontario Veterinary College. University of Guelph.; Office of Research. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/TK3WHC"
"144","Replication Data for: In pursuit of a better broiler: tibial morphology, breaking strength, and ash content in conventional and slower-growing strains of broiler chickens","2023-01-16","Santos, Midian; Widowski, Tina; Torrey, Stephanie; Kiarie, Elijah; Guerin, Michele; Edwards, Michelle","Agricultural Sciences","Chicken; Slow-growth; Bone health; Genetic; Growth rate; Lameness","Experimental","This study was conducted to determine the differences in bone traits in 14 strains of broiler chickens differing in growth rate.","2018-05-17 to  2019-11-07","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Campbell Centre for the Study of Animal Welfare. Department of Population Medicine. Ontario Veterinary College. University of Guelph.; Office of Research. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/P6Z5TC"
"145","Replication Data for: Characterizing Survival of Winter Wheat (Triticum aestivum L.) Under Low-Temperature Flooding and Ice Encasement","2023-02-07","Husiny, Jaber; Lyons, Eric","Agricultural Sciences","Low-temperature; Ice encasement; Lethal days; Lethal temperature; Mortality; Biochemistry; Physiology; Morphology","Experimental data","The objective of this study was to develop methods for determining cultivar tolerance to low-temperature flooding and ice encasement (LTFIE) and to detect morphological and physiological differences among cultivars with different survival rates under LTFIE.","2021-01 to  2022-09","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/YHOZUK"
"146","Replication Data for: In pursuit of a better broiler: growth, efficiency, and mortality of 16 strains of broiler chickens","2023-02-15","Torrey, Stephanie; Santos, Midian; Rothschild, Daniel; Dawson, Lauren; Liu, Zhenzhen; Widowski, Tina; Mohammadigheisar, Mohsen; Kiarie, Elijah; Mandell, Ira; Narrow, Niel; Tulpan, Dan; Edwards, Michelle","Agricultural Sciences","Broiler; Feed efficiency; Mortality; Slow growing; Welfare","Experimental data","We studied 16 different genetic strains of broiler chickens over a 2-year period to understand differences in behavior, activity, physiology, anatomy, mortality, growth, feed efficiency, and carcass and meat quality as they relate to the strains’ growth rates and age.","2017-05 to  2020-10","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph. Campbell Centre for the Study of Animal Welfare.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Office of Research. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/QJLMXC"
"147","Replication Data for: Plant growth regulation and the rebound effect when prohexadione calcium is applied to fairway height annual bluegrass and creeping bentgrass swards","2023-03-03","Husiny, Jaber; Ficht, Alexandra; Watson, John; Lyons, Eric","Agricultural Sciences","Turfgrass; Plant growth regulators; Clipping dry weight; NDVI; Visual assessment; Growing degree days","Experimental","The purpose of this study was to test the effectiveness of prohexadione calcium (PC) as a plant growth regulator (PGR) at different rates on a mixed stand canopy at fairway height under northern temperate conditions using an extended growing degree (GDD) day application schedule. Additionally, this study aimed to capture the rebound effect measured after regulation loss and subsequent applications of PC.","2018-05 to  2019-09","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph. Guelph Turfgrass Institute.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph. Guelph Turfgrass Institute.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph. Guelph Turfgrass Institute.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph. Guelph Turfgrass Institute.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/YI75PW"
"148","Replication Data for: Fearfulness in commercial laying hens: A meta-analysis comparing brown and white egg layers","2023-03-20","Rentsch, K., Ana; Ellis, L., Jennifer; Widowski, M., Tina","Agricultural Sciences","Fearfulness; Laying hens; Behaviour; Tonic immobility; Novel object test","Experimental; Meta-analysis","This meta-analysis aimed to evaluate differences in brown versus white laying hens’ TI and NO test results (as two unique metrics of fearfulness) to assess systematic genetic effects.","2022-02 to  2022-03","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/JHRLYY"
"149","Replication Data for: Rearing laying hens: the effect of aviary design and genetic strain on pullet exercise and perching behavior","2023-03-22","Rentsch, Ana; Harlander, Alexandra; Siegford, Janice; Vitienes, Isabela; Willie, Bettina; Widowski, Tina","Agricultural Sciences","Laying hen; Rearing aviary; Brooding compartment; Locomotion; Load bearing","Experimental","In this study we investigate the effect of rearing aviary design on the amount and type of exercise 93 chicks/pullets perform throughout the rearing phase.","2019-08 to  2021-05","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Science. College of Agriculture and Natural Resources. Michigan State University.; Research Centre. Shriners Hospitals for Children. Faculty of Dental Medicine and Oral Health Sciences. McGill University. Montreal, Quebec, Canada.; Research Centre. Shriners Hospitals for Children. Faculty of Dental Medicine and Oral Health Sciences. McGill University. Montreal, Quebec, Canada.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/NAHIK3"
"150","Replication Data for: The development laying hen locomotion 3D space is affected by early environmental complexity and genetic strain","2023-03-24","Rentsch, K. Ana; Ross, Erin; Harlander, Alexandra; Niel, Lee; Siegford, Janice; Widowski, Tina","Agricultural Sciences","Laying hen; Rearing aviary; Vertical navigation; Spatial skills; Genetic strain","Experimental","This study aims to answer whether the degree of early life complexity and pullets’ genetic strain affect the development of spatial skills in 3D space, specifically vertical locomotion abilities and locomotory strategies.","2019-08 to  2021-05","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Population Medicine. Ontario Veterinary College. University of Guelph.; Department of Animal Science. College of Agriculture and Natural Resources. Michigan State University.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/VXMBJV"
"151","Replication Data for: Raising Laying Hens: housing complexity and genetic strain affect startle and behavioural response to fear stimuli","2023-04-04","Rentsch, Ana; Harlander, Alexandra; Niel, Lee; Siegford, Janice; Widowski, Tina","Agricultural Sciences","Laying hens; Rearing aviary; Startle response; Novel arena; Novel object","Experimental","In this paper, we asked whether the degree of early complexity (minimal, low, moderate, or high), genetic strain (brown vs white feathered), or their interaction affects fear behaviour (type and intensity) in laying hen pullets in different fear-inducing situations: 1) a startle response test, 2) a novel arena, and 3) a novel object test.","2019-08 to  2021-05","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Population Medicine. Ontario Veterinary College. University of Guelph.; Department of Animal Science. College of Agriculture and Natural Resources. Michigan State University.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/3RJVMY"
"152","Replication Data for: Rearing Laying Hens: environmental complexity and genetic strain affect pullet but not chick performance in a T-maze learning task","2023-04-06","Rentsch, Ana; Harlander, Alexandra; Niel, Lee; Siegford, Janice; Widowski, Tina","Agricultural Sciences","Laying hens; Pullets; Chicks; Rearing aviary; Spatial skills; T-maze","Experimental","We used two learning tests to test three hypotheses using chicks and pullets of brown and white layer strains reared in cages and aviaries of varying complexity. 1) Does increased spatial complexity during early life improve the performance of laying hen chicks/pullets in a T-maze? 2) Does chick/pullet performance in a two-dimensional learning task differ between genetic strains? 3) Is there an interactive effect of genetic strain and rearing environment on performance in the tasks?","2019-08 to  2021-05","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Population Medicine. Ontario Veterinary College. University of Guelph.; Department of Animal Science. College of Agriculture and Natural Resources. Michigan State University.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/4VKBKY"
"153","Replication Data for: Novel curve fitting analysis of NDVI data to describe turf fertilizer response","2023-05-25","Carey, Ken; Ficht, Alexandra; Powers, Jacqueline; Dance, Tim; Gharabaghi, Bahram; Lyons, Eric","Agricultural Sciences; Mathematical Sciences","Nitrogen; Normalized Difference Vegetation Index; Enhanced Efficiency Fertilizer; Turfgrass","Experimental","This research project aims to illustrate a novel method for analyzing the NDVI with a known response to EEF, relative to untreated control.","2015-05 to  2015-09","Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.; Department of Mathematics and Statistics. College of Engineering and Physical Sciences. University of Guelph.; School of Engineering. College of Engineering and Physical Sciences. University of Guelph.; Department of Plant Agriculture. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/ARMBNK"
"154","Replication Data for: The impacts of a fibrolytic enzyme additive on digestibility and performance in the grower and early finisher period, and supplemental Saccharomyces cerevisiae on performance and rumen health in the late finisher period for feedlot cattle","2023-05-31","Williams, Melissa; AlZahal, Ousama; Mandell, Ira; McBride, Brian; Woods, Katharine","Agricultural Sciences","Beef; Feed additives; Fibrolytic enzyme; Yeast; Saccharomyces cerevisiae","Experimental","The objectives of the first experiment were to determine theC16 effects of a fibrolytic enzyme pretreatment on growth performance, apparent total tract digestibility, and ruminal pH in the grower and early finisher phases of beef cattle production. Objectives for exp. 2 were to determine the impacts of supplemental Saccharomyces cerevisiae yeast to the diet on performance, carcass characteristics, reticulo-ruminal pH, and markers of immune response, rumen health, and gut barrier function at the end of finishing.","2017-12 to  2018-08","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; AB Vista. Malborough. United Kingdom.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/N3O4O9"
"155","Replication Data for: The effect of feeding flaxseed as a source of omega-3 fatty acids to broiler chickens and table egg pullet breeders on body weight, reproductive performance, and hatchability performance indices","2023-07-28","Whittle, Rosemary; Kiarie, Elijah; Widowski, Tina","Agricultural Sciences","Layer breeder; Broiler breeder; Omega-3 fatty acids; Growth; Egg production","Experimental","This study was part of a larger project investigating the effects of maternal feeding of n-3 FA to broiler and layer breeders on offspring brains and behaviour (Whittle, 2023). Here we report the results of feeding flaxseed as a source of n-3 FA on breeders’ body weight and uniformity during rearing and laying, egg production and hatchery performance indices. In two separate experiments, we fed the broiler and layer breeders diets differing in n-3 FA during rearing and egg production.","2019-02 to  2021-12","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/4SVPDZ"
"156","Replication Data for: Maternal fed flaxseed diets influence offspring brain size and omega-3 fatty acid composition in chickens","2023-10-10","Whittle, H. Rosemary; Kiarie, G. Elijah; Ma, W. L. David; Widowski, M. Tina","Agricultural Sciences","Chicken; Maternal diet; Omega-3; Brain size; Brain fatty acids","Experimental","The objective of this study was to investigate the effects of  feeding Ross 708 broiler breeder hens and ISA Brown and Shaver White layer breeder hens a diet supplemented with n-3 FA on their offspring's brain size and brain FA composition.","2019-02 to  2022-02","Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.; Department of Animal Biosciences. Ontario Agricultural College. University of Guelph.","OAC Historical Research Data and Reproducibility Project","doi:10.5683/SP3/WSZBAS"
